step,wall_time,train_learning_rate,relative_seconds,relative_time
2904000,1749735001.3264458,9.999999747378752e-05,3311.4124240875244,0:55:11.412424
2916000,1749735015.606415,9.999999747378752e-05,3325.6923933029175,0:55:25.692393
2928000,1749735029.6656897,9.999999747378752e-05,3339.7516679763794,0:55:39.751668
2940000,1749735043.736435,9.999999747378752e-05,3353.8224132061005,0:55:53.822413
2952000,1749735057.773629,9.999999747378752e-05,3367.859607219696,0:56:07.859607
2964000,1749735071.6871514,9.999999747378752e-05,3381.7731297016144,0:56:21.773130
2976000,1749735085.6516235,9.999999747378752e-05,3395.7376017570496,0:56:35.737602
2988000,1749735099.5800345,9.999999747378752e-05,3409.666012763977,0:56:49.666013
3000000,1749735113.7714403,9.999999747378752e-05,3423.85741853714,0:57:03.857419
3012000,1749735127.885027,9.999999747378752e-05,3437.9710052013397,0:57:17.971005
3024000,1749735141.9179518,9.999999747378752e-05,3452.003930091858,0:57:32.003930
3036000,1749735155.8571377,9.999999747378752e-05,3465.9431159496307,0:57:45.943116
3048000,1749735169.9566033,9.999999747378752e-05,3480.0425815582275,0:58:00.042582
3060000,1749735184.1944184,9.999999747378752e-05,3494.2803966999054,0:58:14.280397
3072000,1749735198.2430642,9.999999747378752e-05,3508.3290424346924,0:58:28.329042
3084000,1749735212.0061843,9.999999747378752e-05,3522.0921626091003,0:58:42.092163
3096000,1749735225.7938824,9.999999747378752e-05,3535.879860639572,0:58:55.879861
3108000,1749735239.982438,9.999999747378752e-05,3550.0684163570404,0:59:10.068416
3120000,1749735254.1242714,9.999999747378752e-05,3564.2102496623993,0:59:24.210250
