step,wall_time,train_value_loss,relative_seconds,relative_time
1980000,1749733942.0017073,0.00937044620513916,2252.0871777534485,0:37:32.087178
1992000,1749733955.7047741,0.024830467998981476,2265.790244579315,0:37:45.790245
2004000,1749733969.4274266,0.17507295310497284,2279.512897014618,0:37:59.512897
2016000,1749733983.100998,0.025464732199907303,2293.1864683628082,0:38:13.186468
2028000,1749733996.8267272,0.1140386313199997,2306.9121975898743,0:38:26.912198
2040000,1749734010.6029613,0.014719750732183456,2320.688431739807,0:38:40.688432
2052000,1749734024.3323746,0.07525692880153656,2334.4178450107574,0:38:54.417845
2064000,1749734038.4423304,0.09545623511075974,2348.527800798416,0:39:08.527801
2076000,1749734052.1147695,0.023288259282708168,2362.2002398967743,0:39:22.200240
2088000,1749734065.6349862,0.02039269730448723,2375.720456600189,0:39:35.720457
2100000,1749734079.0808582,0.08502886444330215,2389.1663286685944,0:39:49.166329
2112000,1749734092.7504935,0.015622653067111969,2402.8359639644623,0:40:02.835964
2124000,1749734106.3496308,0.09753865003585815,2416.4351012706757,0:40:16.435101
2136000,1749734119.9838042,0.1759447306394577,2430.069274663925,0:40:30.069275
2148000,1749734133.7416716,0.11919163912534714,2443.8271420001984,0:40:43.827142
2160000,1749734147.3040128,0.10252849012613297,2457.3894832134247,0:40:57.389483
2172000,1749734161.0708308,0.04396015778183937,2471.1563012599945,0:41:11.156301
2184000,1749734174.743898,0.022420430555939674,2484.82936835289,0:41:24.829368
2196000,1749734188.2713182,0.06188938394188881,2498.356788635254,0:41:38.356789
2208000,1749734201.7158184,0.012094338424503803,2511.801288843155,0:41:51.801289
2220000,1749734215.1201408,0.051160626113414764,2525.205611228943,0:42:05.205611
2232000,1749734228.4793034,0.07163967192173004,2538.564773797989,0:42:18.564774
2244000,1749734241.8588827,0.07497592270374298,2551.9443531036377,0:42:31.944353
2256000,1749734255.272448,0.035315971821546555,2565.3579185009003,0:42:45.357919
2268000,1749734268.7052727,0.02050805650651455,2578.790743112564,0:42:58.790743
2280000,1749734282.3166957,0.030355552211403847,2592.4021661281586,0:43:12.402166
