step,wall_time,train_loss,relative_seconds,relative_time
2568000,1749902257.8868592,2.7800192832946777,2768.8507289886475,0:46:08.850729
2580000,1749902270.8155727,0.5200242400169373,2781.779442548752,0:46:21.779443
2592000,1749902283.615761,0.9144853353500366,2794.5796308517456,0:46:34.579631
2604000,1749902296.394756,3.6027309894561768,2807.3586258888245,0:46:47.358626
2616000,1749902309.1438758,0.12865468859672546,2820.1077456474304,0:47:00.107746
2628000,1749902321.8493977,0.2977216839790344,2832.813267469406,0:47:12.813267
2640000,1749902334.5960534,0.7893124222755432,2845.559923171997,0:47:25.559923
2652000,1749902347.369527,1.1788266897201538,2858.333396911621,0:47:38.333397
2664000,1749902360.0117419,0.17611420154571533,2870.9756116867065,0:47:50.975612
2676000,1749902372.7116237,0.7616958618164062,2883.675493478775,0:48:03.675493
2688000,1749902385.15464,3.764000415802002,2896.1185097694397,0:48:16.118510
2700000,1749902397.951423,1.8915475606918335,2908.915292739868,0:48:28.915293
2712000,1749902410.757604,0.830798864364624,2921.7214736938477,0:48:41.721474
2724000,1749902423.7408664,0.7230830788612366,2934.7047362327576,0:48:54.704736
2736000,1749902436.7769794,0.22735430300235748,2947.7408492565155,0:49:07.740849
2748000,1749902449.6587555,2.4410293102264404,2960.622625350952,0:49:20.622625
2760000,1749902462.5216315,0.7596871852874756,2973.4855012893677,0:49:33.485501
2772000,1749902475.3521836,1.4625968933105469,2986.316053390503,0:49:46.316053
2784000,1749902488.116801,2.6626193523406982,2999.0806708335876,0:49:59.080671
2796000,1749902500.8420913,0.34992367029190063,3011.8059611320496,0:50:11.805961
2808000,1749902513.5668228,0.8352460861206055,3024.530692577362,0:50:24.530693
2820000,1749902526.295484,0.32341474294662476,3037.259353876114,0:50:37.259354
2832000,1749902539.0804205,0.9073936343193054,3050.044290304184,0:50:50.044290
2844000,1749902551.732192,1.0948514938354492,3062.696061849594,0:51:02.696062
2856000,1749902564.1383624,0.8744737505912781,3075.1022322177887,0:51:15.102232
2868000,1749902576.9094443,0.07466722279787064,3087.873314142227,0:51:27.873314
2880000,1749902589.7714694,1.787912368774414,3100.735339164734,0:51:40.735339
2892000,1749902602.807977,0.3860626518726349,3113.7718467712402,0:51:53.771847
2904000,1749902616.0331988,2.676215648651123,3126.99706864357,0:52:06.997069
2916000,1749902629.6941535,0.11594810336828232,3140.6580233573914,0:52:20.658023
2928000,1749902643.3070972,5.973318576812744,3154.2709670066833,0:52:34.270967
2940000,1749902657.2633796,0.4922965168952942,3168.2272493839264,0:52:48.227249
2952000,1749902672.373856,0.28024986386299133,3183.337725877762,0:53:03.337726
2964000,1749902687.5236182,0.18483327329158783,3198.4874880313873,0:53:18.487488
2976000,1749902702.610571,0.3582156002521515,3213.574440717697,0:53:33.574441
2988000,1749902717.8998911,2.991072654724121,3228.863760948181,0:53:48.863761
3000000,1749902732.5857966,0.4877193868160248,3243.549666404724,0:54:03.549666
3012000,1749902747.101583,1.3057328462600708,3258.065452814102,0:54:18.065453
3024000,1749902760.885764,0.14338183403015137,3271.849633693695,0:54:31.849634
3036000,1749902773.847842,0.9506438970565796,3284.8117117881775,0:54:44.811712
3048000,1749902786.8829973,0.07165728509426117,3297.846867084503,0:54:57.846867
3060000,1749902799.9236753,0.005734067410230637,3310.887545108795,0:55:10.887545
3072000,1749902812.7461295,0.2091302126646042,3323.7099993228912,0:55:23.709999
3084000,1749902825.4783742,0.8563428521156311,3336.442244052887,0:55:36.442244
3096000,1749902838.2092764,0.6267680525779724,3349.1731462478638,0:55:49.173146
3108000,1749902850.9178536,0.1593930870294571,3361.8817234039307,0:56:01.881723
3120000,1749902863.5639472,0.05614679306745529,3374.5278170108795,0:56:14.527817
